UPI_ref_no,Payer_UPI_id,Payee_UPI_id,Txn_amt,eventTime___,Txn_date,eventHour,week_day
347947834404,aa1001@okhdfcbank,xc1001@oksbi,6572,2022-01-16 16:32:21.000000 UTC,2022-01-16,16,1
725569575491,aa1001@okhdfcbank,xc1001@oksbi,6951,2022-06-19 15:33:43.000000 UTC,2022-06-19,15,1
684053074452,aa1001@okhdfcbank,xc1001@oksbi,6446,2022-03-20 08:23:28.000000 UTC,2022-03-20,8,1
303345956962,aa1001@okhdfcbank,xc1001@oksbi,6756,2022-09-11 15:40:33.000000 UTC,2022-09-11,15,1
368581148874,aa1001@okhdfcbank,xc1001@oksbi,6413,2022-04-10 12:17:31.000000 UTC,2022-04-10,12,1
295904896280,aa1001@okhdfcbank,xc1001@oksbi,6158,2022-10-16 15:30:37.000000 UTC,2022-10-16,15,1
750627608165,aa1001@okhdfcbank,xc1001@oksbi,7082,2022-02-20 19:37:38.000000 UTC,2022-02-20,19,1
111367592373,aa1001@okhdfcbank,xc1001@oksbi,6884,2022-06-19 11:26:30.000000 UTC,2022-06-19,11,1
843544482180,aa1001@okhdfcbank,xc1001@oksbi,6690,2022-01-09 14:34:39.000000 UTC,2022-01-09,14,1
707544736254,aa1001@okhdfcbank,xc1001@oksbi,6464,2022-07-10 19:26:25.000000 UTC,2022-07-10,19,1
219945330911,aa1001@okhdfcbank,xc1001@oksbi,6885,2022-08-21 16:20:25.000000 UTC,2022-08-21,16,1
928328512559,aa1001@okhdfcbank,xc1001@oksbi,6069,2022-02-20 19:25:26.000000 UTC,2022-02-20,19,1
106177187280,aa1001@okhdfcbank,xc1001@oksbi,6379,2022-02-13 18:29:24.000000 UTC,2022-02-13,18,1
730217845586,aa1001@okhdfcbank,xc1001@oksbi,6413,2022-08-28 14:24:35.000000 UTC,2022-08-28,14,1
184970300354,aa1001@okhdfcbank,xc1001@oksbi,6505,2022-01-23 13:37:28.000000 UTC,2022-01-23,13,1
503715653908,aa1001@okhdfcbank,xc1001@oksbi,6816,2022-08-14 17:31:18.000000 UTC,2022-08-14,17,1
812901231231,ad2001@yesbank,xj8221@paytm,17681,2022-01-23 08:29:27.000000 UTC,2022-01-23,8,1
188934051999,ab1001@okicicibank,xm9001@oksbi,14750,2022-10-16 09:35:24.000000 UTC,2022-10-16,9,1
